IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
MH_16,"Beds in mental hospitals (per 100,000)",numeric,EMR,Eastern Mediterranean,Country,TUN,Tunisia,Year,2017,true,,,,,,,,,,,,,0.27,,,,,,0.27,,,EN,2019-04-25T06:00:00.000Z
MH_16,"Beds in mental hospitals (per 100,000)",numeric,EMR,Eastern Mediterranean,Country,SOM,Somalia,Year,2017,true,,,,,,,,,,,,,0.5,,,,,,0.5,,,EN,2019-04-25T06:00:00.000Z
MH_16,"Beds in mental hospitals (per 100,000)",numeric,AFR,Africa,Country,ETH,Ethiopia,Year,2017,true,,,,,,,,,,,,,0.98,,,,,,0.98,,,EN,2019-04-25T06:00:00.000Z
MH_16,"Beds in mental hospitals (per 100,000)",numeric,AFR,Africa,Country,BDI,Burundi,Year,2017,true,,,,,,,,,,,,,1.38,,,,,,1.38,,,EN,2019-04-25T06:00:00.000Z
MH_16,"Beds in mental hospitals (per 100,000)",numeric,AMR,Americas,Country,CAN,Canada,Year,2017,true,,,,,,,,,,,,,11.09,,,,,,11.09,,,EN,2019-04-25T06:00:00.000Z
MH_16,"Beds in mental hospitals (per 100,000)",numeric,AFR,Africa,Country,BWA,Botswana,Year,2017,true,,,,,,,,,,,,,13.58,,,,,,13.58,,,EN,2019-04-25T06:00:00.000Z
MH_16,"Beds in mental hospitals (per 100,000)",numeric,AFR,Africa,Country,SWZ,Eswatini,Year,2017,true,,,,,,,,,,,,,14.56,,,,,,14.56,,,EN,2019-04-25T06:00:00.000Z
MH_16,"Beds in mental hospitals (per 100,000)",numeric,AMR,Americas,Country,VCT,Saint Vincent and the Grenadines,Year,2017,true,,,,,,,,,,,,,164.5,,,,,,164.5,,,EN,2019-04-25T06:00:00.000Z
MH_16,"Beds in mental hospitals (per 100,000)",numeric,EMR,Eastern Mediterranean,Country,BHR,Bahrain,Year,2017,true,,,,,,,,,,,,,19.32,,,,,,19.32,,,EN,2019-04-25T06:00:00.000Z
MH_16,"Beds in mental hospitals (per 100,000)",numeric,AFR,Africa,Country,GNQ,Equatorial Guinea,Year,2017,true,,,,,,,,,,,,,19.4,,,,,,19.4,,,EN,2019-04-25T06:00:00.000Z
