IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
MH_4,Government expenditures on mental health as a percentage of total government expenditures on health (%),numeric,AFR,Africa,Country,ZWE,Zimbabwe,Year,2011,true,,,,,,,,,,,,,0.01,,,,,,0.01,,,EN,2013-10-10T06:00:00.000Z
MH_4,Government expenditures on mental health as a percentage of total government expenditures on health (%),numeric,WPR,Western Pacific,Country,PNG,Papua New Guinea,Year,2011,true,,,,,,,,,,,,,0.1,,,,,,0.1,,,EN,2013-10-10T06:00:00.000Z
MH_4,Government expenditures on mental health as a percentage of total government expenditures on health (%),numeric,AFR,Africa,Country,MOZ,Mozambique,Year,2011,true,,,,,,,,,,,,,0.16,,,,,,0.16,,,EN,2013-10-10T06:00:00.000Z
MH_4,Government expenditures on mental health as a percentage of total government expenditures on health (%),numeric,AFR,Africa,Country,CMR,Cameroon,Year,2011,true,,,,,,,,,,,,,0.26,,,,,,0.26,,,EN,2013-10-10T06:00:00.000Z
MH_4,Government expenditures on mental health as a percentage of total government expenditures on health (%),numeric,AMR,Americas,Country,PER,Peru,Year,2011,true,,,,,,,,,,,,,0.27,,,,,,0.27,,,EN,2013-10-10T06:00:00.000Z
MH_4,Government expenditures on mental health as a percentage of total government expenditures on health (%),numeric,AMR,Americas,Country,PRY,Paraguay,Year,2011,true,,,,,,,,,,,,,0.31,,,,,,0.31,,,EN,2013-10-10T06:00:00.000Z
MH_4,Government expenditures on mental health as a percentage of total government expenditures on health (%),numeric,AFR,Africa,Country,BDI,Burundi,Year,2011,true,,,,,,,,,,,,,0.34,,,,,,0.34,,,EN,2013-10-10T06:00:00.000Z
MH_4,Government expenditures on mental health as a percentage of total government expenditures on health (%),numeric,WPR,Western Pacific,Country,MYS,Malaysia,Year,2011,true,,,,,,,,,,,,,0.39,,,,,,0.39,,,EN,2013-10-10T06:00:00.000Z
MH_4,Government expenditures on mental health as a percentage of total government expenditures on health (%),numeric,WPR,Western Pacific,Country,MHL,Marshall Islands,Year,2011,true,,,,,,,,,,,,,0.4,,,,,,0.4,,,EN,2013-10-10T06:00:00.000Z
MH_4,Government expenditures on mental health as a percentage of total government expenditures on health (%),numeric,SEAR,South-East Asia,Country,BGD,Bangladesh,Year,2011,true,,,,,,,,,,,,,0.44,,,,,,0.44,,,EN,2013-10-10T06:00:00.000Z
MH_4,Government expenditures on mental health as a percentage of total government expenditures on health (%),numeric,AMR,Americas,Country,DOM,Dominican Republic,Year,2011,true,,,,,,,,,,,,,0.61,,,,,,0.61,,,EN,2013-10-10T06:00:00.000Z
MH_4,Government expenditures on mental health as a percentage of total government expenditures on health (%),numeric,AMR,Americas,Country,HTI,Haiti,Year,2011,true,,,,,,,,,,,,,0.61,,,,,,0.61,,,EN,2013-10-10T06:00:00.000Z
MH_4,Government expenditures on mental health as a percentage of total government expenditures on health (%),numeric,AFR,Africa,Country,GAB,Gabon,Year,2011,true,,,,,,,,,,,,,0.62,,,,,,0.62,,,EN,2013-10-10T06:00:00.000Z
MH_4,Government expenditures on mental health as a percentage of total government expenditures on health (%),numeric,AMR,Americas,Country,MEX,Mexico,Year,2011,true,,,,,,,,,,,,,0.65,,,,,,0.65,,,EN,2013-10-10T06:00:00.000Z
MH_4,Government expenditures on mental health as a percentage of total government expenditures on health (%),numeric,WPR,Western Pacific,Country,NRU,Nauru,Year,2011,true,,,,,,,,,,,,,0.69,,,,,,0.69,,,EN,2013-10-10T06:00:00.000Z
MH_4,Government expenditures on mental health as a percentage of total government expenditures on health (%),numeric,SEAR,South-East Asia,Country,NPL,Nepal,Year,2011,true,,,,,,,,,,,,,0.7,,,,,,0.7,,,EN,2013-10-10T06:00:00.000Z
MH_4,Government expenditures on mental health as a percentage of total government expenditures on health (%),numeric,WPR,Western Pacific,Country,PLW,Palau,Year,2011,true,,,,,,,,,,,,,0.82,,,,,,0.82,,,EN,2013-10-10T06:00:00.000Z
MH_4,Government expenditures on mental health as a percentage of total government expenditures on health (%),numeric,AFR,Africa,Country,MWI,Malawi,Year,2011,true,,,,,,,,,,,,,1,,,,,,1,,,EN,2013-10-10T06:00:00.000Z
MH_4,Government expenditures on mental health as a percentage of total government expenditures on health (%),numeric,AMR,Americas,Country,NIC,Nicaragua,Year,2011,true,,,,,,,,,,,,,1,,,,,,1,,,EN,2013-10-10T06:00:00.000Z
MH_4,Government expenditures on mental health as a percentage of total government expenditures on health (%),numeric,AMR,Americas,Country,KNA,Saint Kitts and Nevis,Year,2011,true,,,,,,,,,,,,,1.09,,,,,,1.09,,,EN,2013-10-10T06:00:00.000Z
MH_4,Government expenditures on mental health as a percentage of total government expenditures on health (%),numeric,AMR,Americas,Country,ECU,Ecuador,Year,2011,true,,,,,,,,,,,,,1.2,,,,,,1.2,,,EN,2013-10-10T06:00:00.000Z
MH_4,Government expenditures on mental health as a percentage of total government expenditures on health (%),numeric,EUR,Europe,Country,TJK,Tajikistan,Year,2011,true,,,,,,,,,,,,,1.22,,,,,,1.22,,,EN,2013-10-10T06:00:00.000Z
MH_4,Government expenditures on mental health as a percentage of total government expenditures on health (%),numeric,WPR,Western Pacific,Country,SLB,Solomon Islands,Year,2011,true,,,,,,,,,,,,,1.3,,,,,,1.3,,,EN,2013-10-10T06:00:00.000Z
MH_4,Government expenditures on mental health as a percentage of total government expenditures on health (%),numeric,AMR,Americas,Country,GUY,Guyana,Year,2011,true,,,,,,,,,,,,,1.35,,,,,,1.35,,,EN,2013-10-10T06:00:00.000Z
MH_4,Government expenditures on mental health as a percentage of total government expenditures on health (%),numeric,EUR,Europe,Country,BGR,Bulgaria,Year,2011,true,,,,,,,,,,,,,1.4,,,,,,1.4,,,EN,2013-10-10T06:00:00.000Z
MH_4,Government expenditures on mental health as a percentage of total government expenditures on health (%),numeric,AMR,Americas,Country,GTM,Guatemala,Year,2011,true,,,,,,,,,,,,,1.46,,,,,,1.46,,,EN,2013-10-10T06:00:00.000Z
MH_4,Government expenditures on mental health as a percentage of total government expenditures on health (%),numeric,AMR,Americas,Country,HND,Honduras,Year,2011,true,,,,,,,,,,,,,1.61,,,,,,1.61,,,EN,2013-10-10T06:00:00.000Z
MH_4,Government expenditures on mental health as a percentage of total government expenditures on health (%),numeric,AFR,Africa,Country,LSO,Lesotho,Year,2011,true,,,,,,,,,,,,,1.8,,,,,,1.8,,,EN,2013-10-10T06:00:00.000Z
MH_4,Government expenditures on mental health as a percentage of total government expenditures on health (%),numeric,WPR,Western Pacific,Country,FJI,Fiji,Year,2011,true,,,,,,,,,,,,,1.9,,,,,,1.9,,,EN,2013-10-10T06:00:00.000Z
MH_4,Government expenditures on mental health as a percentage of total government expenditures on health (%),numeric,AFR,Africa,Country,ERI,Eritrea,Year,2011,true,,,,,,,,,,,,,1.91,,,,,,1.91,,,EN,2013-10-10T06:00:00.000Z
MH_4,Government expenditures on mental health as a percentage of total government expenditures on health (%),numeric,WPR,Western Pacific,Country,NZL,New Zealand,Year,2011,true,,,,,,,,,,,,,10,,,,,,10,,,EN,2013-10-10T06:00:00.000Z
MH_4,Government expenditures on mental health as a percentage of total government expenditures on health (%),numeric,EUR,Europe,Country,SWE,Sweden,Year,2011,true,,,,,,,,,,,,,10,,,,,,10,,,EN,2013-10-10T06:00:00.000Z
